No ,Sunda,Indonesia
560,Imut,Senyum
561,Incer,Incar
562,Incok,Encok
563,Incu,Cucu
564,Indit,Pergi
565,Indung,Ibu
566,Inget,Ingat
567,Inggis,Gelisah
568,Ingkab,Ketiak
569,Ingkab,Ketek
570,Ingkig,Pergi Meninggalkan
571,Ingon,Ternak
572,Injeum,Pinjam
573,Injuk,Ijuk
574,Inohong,Tokoh
575,Inteun,Intan
576,Ipis,Tipis
577,Iraha,Kapan
578,Irong,Lihat
579,Irung,Hidung
580,Ised,Geser
581,Isin,Malu
582,Istenan,Memperhatikan
583,Isteri,Wanita
584,Isteri,Perempuan
585,Isuk,Pagi
586,Isuk,Besok
587,Isukan,Besok
588,Isuk-isuk,Pagi-pagi
589,Itu,Itu
590,Itung,Hitung
591,Iuh,Teduh
592,Iwal,Kecuali
593,Jaga,Kelak
594,Jagjag,Sehat
595,Jagong,Jagung
596,Jail,Jahil
597,Jajaka,Jejaka
598,Jajaka,Pemuda
599,Jajanten,Ilmu Kesaktian
600,Jalma,Manusia
601,Jalma,Orang
602,Jalmi,Manusia
603,Jalmi,Orang
604,Jalu,Jantan
605,Jampana,Joli
606,Jampe,Mantera
607,Janari,Pagi Buta
608,Jandela,Jendela
609,Jangar,Pusing
610,Janggot,Janggut
611,Jangjang,Sayaap
612,Jangji,Janji
613,Jangkorang,Tinggi Kurus
614,Jangkrik,Jangkrik
615,Jangkung,Tinggi
616,Janten,Jadi
617,Japati,Merpati
618,Kawas,Seperti
619,Ka,Ke
620,Kawasa,Kuasa
621,Kawentar,Washur
622,Kawih,Lagu
623,Kawilang,Terbilang
624,Kawih,Lagu
625,Kawilang,Terbilang
626,Kawit,Berasal
627,Kawon,Kalah
628,Kawung,Enau
629,Kayas,Merah muda
630,Kayas,Pink
631,Kebon,Kebun
632,Kecap,Kalimat
633,Kedul,Pemalas
634,Kelek,Ketiak
635,Kelek,Ketek
636,kelenci,kelinci
637,Kelir,Warna
638,Kelir,Corak
639,Kembang,Bunga
640,Kempel,Kumpul
641,Kempelan,Perkumpulan
642,Kenca,Kiri
643,Kenging,Dapat
644,Kentel,Kental
645,Kenteng,Genteng
646,Kenyed,Hentak
647,Kenyot,Isap
648,Keok,Kalah
649,Kerek,Mendengkur
650,Kerebek,Terkam
651,Kerepus,Topi
652,Keretas,Kertas
653,Kersa,Mau
654,Kersa,Sanggup
655,Kesang,Keringat
656,Kesed,Sepet
657,Keuheul,Jengkel
658,Keuheul,Geram
659,Keukeuh,Memaksa
660,Keukeup,Peluk
661,Keuneung,Tumit
662,Keupeul,Genggam
663,Keureut,Iris
664,Keusik,Pasir
665,Keuyeup,Kepiting Sawah
666,Kiat,Kuat
667,Kiceup,Kedip
668,Kidul,Selatan
669,Kieu,Begini
670,Kiih,Kencing
671,Kila-kila,Tanda-tanda
672,Kinca,Cairan Gula Aren
673,Kinten,Kira
674,Kinten-Kinten,Kira-kira
675,Kintun,Kirim
676,Kirang,Kurang
677,Kiridit,Kredit
678,Kirik,Anak
679,Kiripik,Keripik
680,Kiruh,Keruh
681,Kitu,Begitu
682,Kitu,Demikian
683,Kiwa,Kiri
684,Kiwari,Sekarang
685,Kiwari,Kini
686,Kobok,Memasukan Tangan
687,Kalapa,Kelapa
688,Kaleng,Aping
689,Kaler,Utara
690,Kalih,Juga
691,Kalong,Kalelawar
692,Kamar,Kamar
693,Kamari,Kemarin
694,Kampak,Kapak
695,Kampungan,Norak
696,Kadel,Tebal
697,Kanggo,Untuk
698,Kangkalung,Kalung
699,Kanyaho,Pengetahuan
700,Kaos Sangsang,Singlet
701,Kaping,Tanggal
702,Kapungkur,Dahulu
703,Kaput,Jahit
704,Karang,Tahi Lalat
705,Karaton,Istana
706,Kareueut,Manis Sekali
707,Kareunang,Gerah
708,Karunya,Kasian
709,Kasetrum,Tersengat Listrik
710,Kasuat-suat,Teringat-ingat
711,Katel,Wajan
712,Katuhu,Kanan
713,Kawas,Seperti
714,ka,ke
715,ka dieu,ke sini
716,ka ditu,ke sana
717,kabeh,semua
718,Kabentar,Tersambar
719,Kabiri,Kebiri
720,Kabogoh,Kekasih
721,Kaca,Halaman (buku)
722,kacida,Amat sangat
723,Kadel,awas
724,kadongdong,kedongdong
725,kadongkapan,kedatangan
726,kaduhung,menyesal
727,kaen,kain
728,kagoda,tergoda
729,kagungan,punya
730,kahatur,kepada
731,kai,kayu
732,Kajabi,kecuali
733,kajajaden,kejadian
734,kakandungan,hamil
735,kalangkang,bayangan
736,kuar,anak kutu rambut
737,kuciwa,kecewa
738,kudu,harus
739,kueh,kue
740,kukupu,kupu-kupu
741,kuah,kolam
742,kulambu,kelambu
743,kulawarga,keluarga
744,kulawargi,keluarga
745,kulem,tidur
746,kulon,barat
747,kulub,rebus
748,kulutus,gerutu
749,kumaha,bagaimana
750,kumbah,cuci
751,kumeli,kentang
752,kumis,kumis
753,kunaon,kenapa
754,kuncen,juru kunci
755,kunyit,jawawut
756,kunyuk,kera
757,kuping,dengar
758,kurang,kurang
759,kuring,Sayaap
760,kuris,cacar
761,kuru,kurus
762,kurung,kandang burung
763,kurupuk,kerupuk
764,kusir,kusir
765,kusumah,kesuma
766,kutang,bra
767,kuya,kura-kura
768,koceak,jerit
769,kojor,meninggal
770,kojor,mati
771,kolor,celana dalam
772,kolot,tua
773,komo,apa lagi
774,konci,kunci
775,koneng,kuning
776,koneng,kunyit
777,kongkorong,kalung
778,kored,kais
779,koret,pelit
780,korong,upil
781,koropak,bagian dari
782,koropok,keropos
783,korsi,kursi
784,kosok,gosok
785,ku,oleh
786,Lampah,Jalan yang ditempuh
787,Lamping,Pinggir Gunur
788,Lamun,Jika
789,Lana,Abadi
790,Lanceuk,Kakak
791,Lancingan,Celana
792,Landong,Obat
793,Lanaggam,Lagu
794,Langit,Langit
795,Langki,Langka
796,Langkung,Lebih
797,Langlayangan,layang-layang
798,Lantaran,Karena
799,Lantera,Lentera
800,Laauk,Ikan
801,Laun,Lambat
802,Lawon,Kain
803,Layad,Jenguk
804,Layeut,Selalu  Bersama
805,Layon,Kain
806,Layung,Lembayung
807,Le eh,Mencair
808,Lebar,Sayang
809,Lebu,Abu Gosok
810,Ledis,Habis Tidak Tersisa
811,Lega,Lebar
812,Lega,Luas
813,Leketek,Gelitik
814,Lekoh,Kental
815,Lelepen,Cincin
816,Leleson,Istirahat
817,Laat,Telat
818,Lada,Pedas
819,Lahan,Tanah
820,Lain,Bukan
821,Lanjeng,Kemudian
822,Laki Rabi,Suami Istri
823,Lalab,Lalap
824,Lalaki,Laki-laki
825,Kored,Kais
826,Laleur,Lalat
827,Lali,Lupa
828,Laluasa,Leluasa
829,Lambar,Lembar
830,Lambey,Bibir
831,Lami,Lama
832,Lamokot,Belepotan
833,Lamot,Jilat
834,Leumeung,Lemang
835,Leumpang,Jalan
836,Leungeun,Tangan
837,Leungit,Hilang
838,Leungit,Lenyap
839,Leupeut,Lontong
840,Leutak,Lumpur
841,Leutik,Kecil
842,Leuweung,Hutan
843,Leuweung Geledegan,Hutan Rimba
844,Leuwi,Kolam Pemandian
845,Leuwi,Lubuk
846,Leuwih,Lebih
847,Liang,Lobang
848,Liat,Alot
849,Lieuk,Toleh
850,Lieur,Pusing
851,Lila,Lama
852,Lilir,Bangun Tidur
853,Lima,Lima
854,Limpeuran,Lupa
855,Limpeuran,Pelupa
856,Lindeuk,Jinak
857,Linggih,Tinggal
858,Lini,Gempa
859,Lintuh,Gemuk
860,Lisa,Telur Kutu Rambut
861,Lisung,Alu
862,Loba,Banyak
863,Lonceng,Bel
864,Lodaya,Harimau
865,Lemah Cai,Tanah Air
866,Lembur,Desa
867,Lembur,Kampung
868,Lemes,Halus
869,Lempeng,Lurus
870,Lengkah,Langkah
871,Lenglang,Cerah
872,Lengoh,Tidak Bawa Apa-apa
873,Lentah,Lintah
874,Leot,Setrika
875,Lepat,Salah
876,Leres,Benar
877,Leres,Betul
878,Lesot,Lepas
879,Letah,Lidah
880,Letak,Jilat
881,Letoy,Lemah
882,Leutik,Lumbung
883,Leuleus,Lemas
884,Maehan,Membunuh
885,Mimiti,Mulai
886,Maenya,Masa
887,Minantu,Menantu
888,Mahiwal,Janggal
889,Mindeng,Sering
890,Majeng,Maju
891,Mios,Berangkat
892,Mitoha,Mertua
893,Maksad,Maksud
894,Modol,Beol
895,Makuta,Mahkota
896,Mojang,Gadis
897,Malenngpeng,Lempar Batu
898,Molelel,Asib Sekali
899,Males,Malas
900,Moncorong,Terik (Matahari)
901,Maling,Pencuri
902,Mondok,Inap
903,Mamang,Paman
904,Mongkleng,Gulita
905,Mana,Mana
906,Manah,Hati
907,Moro,Buru
908,Monyet,Kera
909,Manawi,Barangkali
910,Motekar,Kreatif
911,Mandi,Mandi
912,Muhun,Iya
913,Maneh,Kamu
914,Manehna,Dia
915,Muih,Pulang
916,Mangga,Silahkan
917,Manggu,Manggis
918,Muncrat,Mancur
919,Manggul,Pikul
920,Munding,Kerbau
921,Mangrupa,Berupa
922,Munggaran,Pertama
923,Mangsa,Saat
924,Murag,Jatuh
925,Mangsi,Tinta
926,Murangkalih,Anak Kecil
927,Mantep,Mantap
928,Manul,Burung
929,Maot,Meninggal Dunia
930,Margi,Karena
931,Masang,Pasang
932,Masih,Masih
933,Mastaka,Kepala
934,Matak,Membuat
935,Mateni,Membunuh
936,Maung,Harimau
937,Mayit,Mayat
938,Medit,Kikir
939,Melak,Tanam
940,Mencrang,Berkilau
941,Mengkol,Belok
942,Mengpar,Lempar
943,Menta,Minta
944,Meong,Harimau
945,Meri,Itik
946,Meri,Bebek
947,Meser,Membeli
948,Metot,Tarik
949,Meumpeun,Menutup Mata
950,Meunang,Menang
951,Miceun,Buang
952,Mieling,Mengenang
953,Madu,Madu
954,Milu,Ikut
955,Mutuskeun,Memutuskan
956,Mutu,Ulekan
957,Muriangkak,Merinding
958,Muriang,Demam
959,Naek,Naik
960,Namba,Menimba
961,Nami,Nama
962,Namung,Tetapi
963,Nangkarak,Terlentang
964,Nangkring,Mejeng
965,Nagkuban,Telungkup
966,Nangtung,Berdiri
967,Naon,Apa
968,Narpati,Raja
969,Nawis,Menawarkan
970,Neda,Makan
971,Nembe,Barusan
972,Nene,Nenek
973,Nerekel,Panjat
974,Ngabolekerkeun,Membuka
975,Ngadeg,Berdiri
976,Ngadegdeg,Oleng
977,Ngagitek,Menari
978,Ngahondhod,Menggigil
979,Ngalamun,Melamun
980,Ngalangkung,Lewat
981,Ngapung,Terbang
982,Ngaran,Nama
983,Ngarasa,Merasa
984,Ngareuah-reuah,Menyemarakan
985,Ngarogahala,Membunuh
986,Ngawitan,Mulai
987,Ngenaan,Mengenai
988,Ngendong,Menginap
989,Ngeunah,Lezat
990,Ngijih,Musim Hujan
991,Ngimpleng,Mengingat
992,nginum,minum
993,ngomong,bicara
994,ngora,muda
995,ngorondang,merangkap
996,nincak,injak
997,nikah,menikah
998,ningal,melihat
999,ningal,lihat
1000,nini,nenek
1001,notog,meluncur
1002,nuju,sedang
1003,numpak,menaiki
1004,nyaah,sayang
1005,nyaeta,yaitu
1006,nyaeta,ialah
1007,nyaho,tahu
1008,nyakclak,titik air
1009,nyalukan,panggil
1010,nyambat,memanggil
1011,nyangkrung,menggenang
1012,nyangsang,tersangkut
1013,nyaram,melarang
1014,nyarek,melarang
1015,nyarios,bicara
1016,nyere,lidi
1017,nyeri,sakit
1018,nyeuneu,berapi-api
1019,nyeureud,menyengat
1020,nyeuseuh,mencuci baju
1021,nyiksenan,menyaksikan
1022,nyiruan,lebah
1023,nyiwit,cubit
1024,nyongcolang,terbaik
1025,nyumput,tersembunyi
1026,ngadegkeun,mendirikan
1027,nyuruput,meminum
1028,nyuruput,seruput
1029,Pantrang,Tak Pernah
1030,Panyawat,Penyakit
1031,Paok,Curi
1032,Papada,Sesama
1033,Papah,Jalan
1034,Papatong,Capung
1035,Papay,Telusuri
1036,Papendak,Bertemu
1037,Parabot,Peralatan
1038,Paranti,Untuk (Kegunaan)
1039,Parantos,Sudah
1040,Paras,Cukur
1041,Parawan,Perawan
1042,Pareum,Padam
1043,Paria,Pare
1044,Parin,Serah/memberikan
1045,Parung,Jeram
1046,Pacabakan,Pegangan
1047,pagawean,pekerjaan
1048,pasagi,persegi
1049,pacilingan,wc
1050,pasanggiri,lomba
1051,pacul,cangkul
1052,pasea,bertengkar
1053,pasini,janji
1054,padaharan,perut
1055,pasir,bukit
1056,paeh,meninggal
1057,pasisian,kota pinggiran
1058,pageto,besok lusa
1059,patali,berkaitan
1060,pahatu,piatu
1061,patlot,pensil
1062,patuangan,perut
1063,pait,pahit
1064,patut,tampang
1065,pajaratan,kuburan
1066,pawon,dapur
1067,pakarangan,halaman rumah
1068,payun,depan
1069,pake,pakai
1070,pecut,cambuk
1071,palangkakan,selangkangan
1072,pedes,lada
1073,plastik,plastik
1074,pegek,pesek
1075,palay,mau
1076,pek,silahkan
1077,palid,hanyut
1078,pelak,tanam
1079,pelak,menanam
1080,panangan,tangan
1081,panon,mata
1082,percanten ,percaya
1083,pangambung,hidung
1084,perhatosan,pengertian
1085,perkara ,hal
1086,pahatu lalis,yatim piatu
1087,perkawis,perihal
1088,panonpoe,matahari
1089,pamajikan ,isteri
1090,peryogi,perlu
1091,putra,anak
1092,pangaos ,harga
1093,panceg,teguh
1094,pancen,tugas
1095,paneunggeul,pemukul
1096,pengkolan,belokan
1097,pameget,lai-laki
1098,pengker,belakang
1099,pengkol,belok
1100,mengkol,membelok
1101,pengpar,lari ke sebelah
1102,pendak,bertemu
1103,pelong,tatap
1104,panganten,pengantin
1105,Rada,Agak
1106,Ragaji,Gergaji
1107,Ragrag,Jatuh
1108,Raheut,Luka
1109,Rahul,Bohong
1110,Rajin,Giat
1111,Raka,Kakak
1112,Raket,Intim
1113,Raksukan,Baju
1114,Raksukan,Pakaian
1115,Rambut,Rambut
1116,Rame,Ramai
1117,Ramo,Jari
1118,Rampak,Gabung
1119,Rampung,Beres
1120,Ranca,Rawa
1121,Rancucut,Basah Kuyup
1122,Randa,Janda
1123,Randa Bengsrat,Janda
1124,Ranggeum,Cengkram
1125,Rangu,Renyah
1126,Raos,Enak
1127,Raraosan,Perasaan
1128,Raray,Wajah
1129,Raray,Muka
1130,Rawayan,Jembatan
1131,Reang,Riuh
1132,Receh,Uang Kecil
1133,Regot,Seruput
1134,Rehe,Rese
1135,Rencang,Teman
1136,Rengkong,Berhenti Tiba-Tiba
1137,Rengkuh,Hormat
1138,Rengse,Selesai
1139,Repeh,Hening
1140,Reueus,Bangga
1141,Reuma,Jari
1142,Reuneuh,Hamil
1143,Reungit,Nyamuk
1144,Reuwas,Terkejut
1145,Rewog,Lahap
1146,Reyod,Reot
1147,Rikrik,Hemat
1148,Ringsek,Ringkas
1149,Rorompok,Rumah
1150,Ruhay,Bara Api
1151,Ruksak,Rusak
1152,Rumaos,Merasa
1153,Rumbah,Kumis
1154,Rungsing,Ruwet
1155,Runtah,Sampah
1156,Rupa,Macam
1157,Rupa,Jenis
1158,Rupi,Macam
1159,Rupi,Jenis
1160,Rusiah,Rahasia
1161,Rusuh,Terburu-buru
1162,Sobat,Sahabat
1163,Nyaah,Sayang
1164,Sobat Dalit,Sahabat Dekat
1165,Jangjang,Sayap
1166,Nyeri,Sakit
1167,Nyeri,Sakit
1168,Sapalih,Sebagian
1169,Sawareh,Sebagian
1170,Sabalikna,Sebaliknya
1171,Lepat,Salah
1172,Teu Leres,Salah
1173,Sapalih,Sebelah
1174,Sabeulah,Sebelah
1175,Sarua,Sama
1176,Sami,Sama
1177,Sesama,Sama
1178,Gigireun,Sebelahan
1179,Sambel,Sambal
1180,Sabelas,Sebelas
1181,Sawelas,Sebelas
1182,Nyambat,Sambat
1183,Nyebat,Sebut
1184,Menyebutkeun,Sebut
1185,Sabet,Sambit
1186,Kadek,Sambit
